,budget,env,id,name,o_0,o_1,o_5
633,5.0,ode,16i4942q,winter-sea-2097,-2218231.201171875,-36137.23993301392,-717.0872068405151
634,5.0,ode,16i4942q,winter-sea-2097,-300118.87550354004,-5789.316296577454,-1024.8700904846191
635,5.0,ode,16i4942q,winter-sea-2097,-2680330.0857543945,-44322.32856750488,-636.0117101669312
636,5.0,ode,16i4942q,winter-sea-2097,-2541705.1315307617,-41416.988372802734,-667.6471424102783
637,5.0,ode,16i4942q,winter-sea-2097,-1966216.0873413088,-32850.10814666748,-748.6614418029785
638,5.0,ode,16i4942q,winter-sea-2097,-2057222.1755981443,-35483.877658843994,-729.8999691009521
639,5.0,ode,16i4942q,winter-sea-2097,-3800814.056396485,-63417.05799102783,-498.800368309021
640,5.0,ode,16i4942q,winter-sea-2097,-2713344.5739746094,-43674.74555969238,-646.6763877868652
641,5.0,ode,16i4942q,winter-sea-2097,-46950.11377334595,-1871.1240589618685,-1276.8629837036133
642,5.0,ode,16i4942q,winter-sea-2097,-5898315.4296875,-98587.77046203612,-258.67047786712646
643,5.0,ode,16i4942q,winter-sea-2097,-7159465.789794922,-120029.34455871582,-148.59610676765442
644,5.0,ode,16i4942q,winter-sea-2097,-781471.7769622803,-13846.47011756897,-909.0403747558594
645,5.0,ode,16i4942q,winter-sea-2097,-5071159.362792969,-82645.65467834473,-370.6625747680664
646,5.0,ode,16i4942q,winter-sea-2097,-7994848.6328125,-137555.7804107666,-102.77414917945862
647,5.0,ode,16i4942q,winter-sea-2097,-6514657.5927734375,-110177.4787902832,-184.23660278320312
648,5.0,ode,16i4942q,winter-sea-2097,-2774478.1494140625,-45714.74075317383,-605.534520149231
649,5.0,ode,16i4942q,winter-sea-2097,-459531.4979553223,-8552.810549736023,-960.1892852783204
650,5.0,ode,16i4942q,winter-sea-2097,-86577.0697593689,-2479.386031627655,-1115.3730583190918
651,5.0,ode,16i4942q,winter-sea-2097,-1138808.4411621094,-19437.345266342163,-857.3987102508545
652,5.0,ode,16i4942q,winter-sea-2097,-7215783.69140625,-121654.7966003418,-147.11598873138428
653,5.0,ode,16i4942q,winter-sea-2097,-281280.255317688,-5440.534949302673,-1026.574773788452
654,5.0,ode,16i4942q,winter-sea-2097,-1231493.091583252,-21328.530311584476,-839.8824691772461
655,5.0,ode,16i4942q,winter-sea-2097,-7896450.042724609,-136151.06582641602,-107.73228764533997
656,5.0,ode,16i4942q,winter-sea-2097,-2119192.886352539,-33858.7212562561,-741.278886795044
657,5.0,ode,16i4942q,winter-sea-2097,-545339.4889831543,-9804.349541664124,-950.0198078155518
658,5.0,ode,16i4942q,winter-sea-2097,-2617061.0427856445,-43179.38804626465,-650.2871990203857
659,5.0,ode,16i4942q,winter-sea-2097,-917026.424407959,-15732.160806655884,-882.3885726928711
660,5.0,ode,16i4942q,winter-sea-2097,-2029968.26171875,-33821.04396820068,-748.2493686676025
661,5.0,ode,16i4942q,winter-sea-2097,-1114315.3190612793,-19229.204654693604,-861.5051078796387
662,5.0,ode,16i4942q,winter-sea-2097,-230988.9316558838,-4829.4952511787415,-1038.7090873718262
663,5.0,ode,16i4942q,winter-sea-2097,-54396.64125442505,-2011.729180812836,-1192.8289031982422
664,5.0,ode,16i4942q,winter-sea-2097,-734761.7149353027,-12466.071844100952,-924.7970008850098
665,5.0,ode,16i4942q,winter-sea-2097,-6502845.001220703,-109916.32461547852,-207.8311586380005
666,5.0,ode,16i4942q,winter-sea-2097,-5641035.461425781,-94709.8445892334,-303.4973359107971
667,5.0,ode,16i4942q,winter-sea-2097,-4480733.108520508,-74749.13597106934,-422.085542678833
668,5.0,ode,16i4942q,winter-sea-2097,-1152010.726928711,-19836.10510826111,-842.2846126556396
669,5.0,ode,16i4942q,winter-sea-2097,-3650292.205810547,-57865.6530380249,-535.3962993621826
670,5.0,ode,16i4942q,winter-sea-2097,-3504189.3005371094,-58931.37454986572,-508.9696311950684
671,5.0,ode,16i4942q,winter-sea-2097,-73988.92641067505,-2299.663722515106,-1143.9103889465332
672,5.0,ode,16i4942q,winter-sea-2097,-540697.5746154785,-9714.345932006836,-959.7997856140136
673,5.0,ode,16i4942q,winter-sea-2097,-152715.6949043274,-3438.2247924804688,-1080.1507186889648
674,5.0,ode,16i4942q,winter-sea-2097,-3545799.2553710938,-57790.44628143311,-549.4677257537842
675,5.0,ode,16i4942q,winter-sea-2097,-5067371.74987793,-83662.46223449707,-350.1138925552368
676,5.0,ode,16i4942q,winter-sea-2097,-4436462.783813477,-73070.10173797607,-428.9189100265503
677,5.0,ode,16i4942q,winter-sea-2097,-8321467.590332031,-140925.11177062988,-90.22374987602234
678,5.0,ode,16i4942q,winter-sea-2097,-883535.9573364258,-15220.13783454895,-895.6947326660156
679,5.0,ode,16i4942q,winter-sea-2097,-305669.54612731934,-6029.80375289917,-1018.4866046905518
680,5.0,ode,16i4942q,winter-sea-2097,-731324.291229248,-12867.17176437378,-919.4268321990968
681,5.0,ode,16i4942q,winter-sea-2097,-5460670.471191406,-88758.544921875,-338.50550651550293
682,5.0,ode,16i4942q,winter-sea-2097,-3213208.0078125,-50886.98863983154,-572.9034519195557
683,5.0,ode,16i4942q,winter-sea-2097,-4256040.191650391,-70503.05366516113,-454.80411529541016
684,5.0,ode,16i4942q,winter-sea-2097,-1127129.5547485352,-18542.394638061523,-862.1419715881348
685,5.0,ode,16i4942q,winter-sea-2097,-4150626.373291016,-65454.80728149414,-459.926233291626
686,5.0,ode,16i4942q,winter-sea-2097,-41035.58659553528,-1802.9920756816864,-1356.914520263672
687,5.0,ode,16i4942q,winter-sea-2097,-4639167.785644531,-77070.08838653564,-403.6348628997803
688,5.0,ode,16i4942q,winter-sea-2097,-4789673.614501953,-77992.32482910156,-372.63208866119385
689,5.0,ode,16i4942q,winter-sea-2097,-8154709.625244141,-140756.55937194824,-99.69221591949464
690,5.0,ode,16i4942q,winter-sea-2097,-362718.00994873047,-6969.084143638611,-1000.0194454193116
691,5.0,ode,16i4942q,winter-sea-2097,-42770.65098285675,-1819.8829889297483,-1311.544246673584
692,5.0,ode,16i4942q,winter-sea-2097,-3204475.4028320312,-53477.05841064453,-567.1011686325073
693,5.0,ode,16i4942q,winter-sea-2097,-3028787.612915039,-49060.15396118164,-598.009443283081
694,5.0,ode,16i4942q,winter-sea-2097,-266159.3198776245,-5197.644233703613,-1033.2954025268557
695,5.0,ode,16i4942q,winter-sea-2097,-832816.9822692871,-14345.768690109251,-902.300262451172
696,5.0,ode,16i4942q,winter-sea-2097,-335477.70977020264,-6592.848896980286,-1014.217128753662
697,5.0,ode,16i4942q,winter-sea-2097,-1710180.4733276367,-27784.674167633057,-776.5998458862305
698,5.0,ode,16i4942q,winter-sea-2097,-8141794.586181641,-140421.6480255127,-99.70871686935423
699,5.0,ode,16i4942q,winter-sea-2097,-1250878.7155151367,-21349.8592376709,-827.7293586730957
700,5.0,ode,16i4942q,winter-sea-2097,-39974.99048709869,-1781.0571193695068,-1364.8669910430908
701,5.0,ode,16i4942q,winter-sea-2097,-431722.7840423584,-8060.065507888794,-985.2660942077636
702,5.0,ode,16i4942q,winter-sea-2097,-1923492.0501708984,-31422.82247543335,-756.5691947937012
703,5.0,ode,16i4942q,winter-sea-2097,-187679.58879470825,-4054.5403957366943,-1059.269142150879
704,5.0,ode,16i4942q,winter-sea-2097,-639645.4334259033,-11496.55818939209,-932.4780750274658
705,5.0,ode,16i4942q,winter-sea-2097,-201363.53969573972,-4166.978001594544,-1055.7022762298584
706,5.0,ode,16i4942q,winter-sea-2097,-88546.55027389526,-2429.201900959015,-1134.044065475464
707,5.0,ode,16i4942q,winter-sea-2097,-337788.34342956543,-6670.417189598084,-1000.4902267456056
708,5.0,ode,16i4942q,winter-sea-2097,-48444.49758529663,-1907.384693622589,-1205.4133987426758
709,5.0,ode,16i4942q,winter-sea-2097,-1244589.3287658691,-20871.520042419437,-840.0441741943359
710,5.0,ode,16i4942q,winter-sea-2097,-3446129.2266845703,-58777.66609191895,-529.7370529174805
711,5.0,ode,16i4942q,winter-sea-2097,-224791.88442230225,-4506.770372390747,-1052.0301818847656
712,5.0,ode,16i4942q,winter-sea-2097,-81052.86955833435,-2365.458905696869,-1136.0494136810305
713,5.0,ode,16i4942q,winter-sea-2097,-7298811.340332031,-123451.59530639648,-136.30853176116943
714,5.0,ode,16i4942q,winter-sea-2097,-7209480.285644531,-119633.26454162598,-149.8163938522339
715,5.0,ode,16i4942q,winter-sea-2097,-3864057.922363281,-63875.47492980957,-491.9362735748291
716,5.0,ode,16i4942q,winter-sea-2097,-1698897.933959961,-28180.22727966309,-760.6524181365967
717,5.0,ode,16i4942q,winter-sea-2097,-6164319.610595703,-101576.75743103027,-248.95313501358032
718,5.0,ode,16i4942q,winter-sea-2097,-6234465.408325195,-105265.78903198242,-212.7360820770264
719,5.0,ode,16i4942q,winter-sea-2097,-228138.8759613037,-4573.960900306702,-1051.7083168029783
720,5.0,ode,16i4942q,winter-sea-2097,-7922669.219970703,-136881.67572021484,-106.23324394226074
721,5.0,ode,16i4942q,winter-sea-2097,-165644.32382583618,-3620.647788047791,-1072.322015762329
722,5.0,ode,16i4942q,winter-sea-2097,-2515360.450744629,-42437.21008300781,-658.7016534805298
723,5.0,ode,16i4942q,winter-sea-2097,-7300305.938720703,-122106.1897277832,-136.74262046813965
