,mu_o_1,mu_o_5,mu_o_0,std_o_1,std_o_5,std_o_0
100,-122849.9984741211,-187.4411647232191,-7310432.264335671,0.0,33.16057521942108,82082.6228340979
101,-122301.9981384277,-188.48670654783047,-7277006.59982309,1.4551915228366852e-11,33.45655117142658,69262.84985158096
102,-121570.98770141602,-191.64636318326828,-7244269.997779747,0.0,35.43727408884988,94291.13137281484
103,-121461.99226379397,-191.8547814646164,-7237330.658428413,1.4551915228366852e-11,35.477658576240955,95505.37300433684
104,-121106.99653625488,-192.6537471167144,-7215978.726927729,0.0,35.31296410726441,91744.08985705733
105,-120809.99374389648,-193.31033856641403,-7201979.925583708,0.0,35.18740597388911,90408.1774889282
106,-120249.01390075684,-194.54258551084777,-7170677.886340043,0.0,35.08182361492316,96304.99928758698
107,-120141.00074768066,-194.85608588143626,-7166626.353432158,0.0,34.975782420016955,96665.3495102549
108,-119527.99797058103,-197.1457920161822,-7137240.591126052,1.4551915228366852e-11,33.793921320642646,96953.65270352735
109,-119393.00537109378,-197.63975592716122,-7130662.984588981,1.4551915228366852e-11,33.6193832820857,95909.6396560964
110,-119035.00556945798,-198.8884185689735,-7087557.623618998,1.4551915228366852e-11,33.23945290068597,84304.07572204764
111,-118931.0073852539,-199.43097292370643,-7087421.501247054,0.0,33.070942190470866,80852.07309071005
112,-118791.9998168945,-200.21933682811283,-7087936.225641596,1.4551915228366852e-11,32.88855816808505,87954.73869235646
113,-118488.00659179688,-201.58219454893486,-7067050.440877184,0.0,32.8235311148064,90729.0654596657
114,-118249.99809265137,-203.19365590845456,-7051063.15371733,0.0,33.097100920868805,94635.58936465661
115,-118098.9933013916,-203.7858049196194,-7038482.013324728,0.0,33.28064387750641,99184.32527126672
116,-117835.99853515622,-204.57525220037695,-7018602.807283403,1.4551915228366852e-11,33.62173015993321,106681.5994796579
117,-117722.99766540527,-204.8466056703684,-7012066.5648908345,0.0,33.62328953138185,109926.95011023364
118,-117154.00695800778,-206.1010509769356,-6990746.779202061,1.4551915228366852e-11,33.78802730404996,126018.79017605387
119,-117127.99072265622,-206.2571543283049,-6983302.754248594,1.4551915228366852e-11,33.71092900759106,118705.04696971788
